dataset,triangles,process_took
Oregon-1::oregon1_010421.tsv,347,82.91ms
Oregon-1::oregon1_010526.tsv,468,127.04ms
Oregon-1::oregon1_010505.tsv,424,137.70ms
Oregon-1::oregon1_010512.tsv,433,143.06ms
Oregon-1::oregon1_010519.tsv,335,153.31ms
Oregon-1::oregon1_010407.tsv,431,155.90ms
Oregon-1::oregon1_010414.tsv,359,156.39ms
Oregon-1::oregon1_010331.tsv,519,165.71ms
Oregon-1::oregon1_010428.tsv,450,166.81ms
